'(8, 10, [6], 1)' 1
'(6, 12, [5], 1)' 1
'(8, 11, [12], 2)' 2
'(7, 11, [1], 2)' 2
'(6, 8, [9], 1)' 1
'(8, 5, [3], 2)' 2
'(4, 8, [0], 1)' 1
'(8, 11, [13], 4)' 1
'(8, 10, [5], 2)' 2
'(3, 2, [5], 2)' 1
'(5, 11, [14], 2)' 2
'(11, 4, [13], 2)' 2
'(13, 14, [7], 1)' 1
'(2, 1, [4], 2)' 1
'(1, 2, [13], 1)' 1
'(6, 7, [4], 2)' 1
'(10, 12, [5], 2)' 2
'(11, 12, [7], 1)' 1
'(7, 13, [14], 2)' 2
'(6, 11, [3], 2)' 2
'(2, 9, [10], 2)' 2
'(6, 13, [3], 2)' 2
'(8, 9, [4], 2)' 1
'(2, 8, [14], 2)' 2
'(10, 13, [4], 2)' 2
'(0, 1, [3], 2)' 1
'(12, 10, [14], 2)' 2
'(3, 1, [7], 2)' 2
'(8, 13, [7], 2)' 2
'(10, 12, [4], 1)' 1
'(6, 13, [5], 2)' 2
'(2, 3, [9], 1)' 1
'(11, 4, [1], 2)' 2
'(10, 11, [13], 2)' 1
'(6, 10, [4], 1)' 1
'(1, 0, [13], 2)' 1
'(6, 14, [0], 2)' 2
'(2, 10, [14], 1)' 1
'(7, 12, [14], 1)' 1
'(14, 8, None, 0)' 1
'(11, 9, [3], 2)' 2
'(0, 10, [14], 2)' 2
'(12, 14, [6], 1)' 1
'(11, 1, [12], 2)' 2
'(7, 10, [6], 2)' 2
'(6, 10, [13], 1)' 1
'(1, 3, [11], 2)' 2
'(9, 5, [2], 2)' 2
'(5, 12, [1], 2)' 2
'(0, 10, [12], 1)' 1
'(11, 10, [9], 2)' 1
'(8, 4, [9], 2)' 2
'(7, 11, [13], 1)' 1
'(7, 5, [1], 2)' 2
'(3, 10, [1], 2)' 2
'(14, 2, [1], 2)' 2
'(2, 1, [7], 2)' 1
'(2, 3, [4], 1)' 1
'(5, 9, [1], 1)' 1
'(8, 2, [14], 2)' 2
'(3, 7, [14], 1)' 1
'(0, 7, [12], 1)' 1
'(10, 8, [6], 2)' 2
'(3, 4, [5], 1)' 1
'(9, 8, [12], 2)' 1
'(0, 5, [9], 2)' 2
'(9, 14, [7], 1)' 1
'(5, 9, [12], 1)' 1
'(1, 3, [0], 1)' 1
'(5, 7, [9], 2)' 2
'(7, 5, [10], 2)' 2
'(3, 5, [12], 2)' 2
'(6, 8, [12], 1)' 1
'(9, 8, [5], 2)' 1
'(14, 3, [2], 2)' 2
'(9, 13, [0], 2)' 2
'(7, 6, [11], 2)' 1
'(3, 9, [1], 2)' 2
'(9, 1, [0], 2)' 2
'(7, 8, [13], 1)' 1
'(2, 11, [12], 2)' 2
'(12, 5, [4], 2)' 2
'(5, 2, [11], 2)' 2
'(3, 5, [6], 2)' 2
'(14, 12, [4], 2)' 2
'(6, 14, [3], 1)' 1
'(7, 13, [1], 2)' 2
'(8, 14, [5], 1)' 1
'(14, 5, None, 0)' 1
'(7, 0, [9], 2)' 2
'(10, 4, [11], 2)' 2
'(1, 4, [8], 2)' 2
'(4, 12, [13], 1)' 1
'(6, 8, [3], 1)' 1
'(12, 13, [7], 2)' 1
'(4, 3, [10], 2)' 1
'(8, 4, [2], 2)' 2
'(10, 3, [12], 2)' 2
'(5, 11, [12], 2)' 2
'(11, 12, [6], 2)' 1
'(11, 12, [1], 2)' 1
'(4, 3, [1], 2)' 1
'(14, 9, [12], 3)' 1
'(9, 7, [13], 2)' 2
'(8, 12, [6], 1)' 1
'(13, 10, [8], 2)' 2
'(7, 10, [3], 1)' 1
'(7, 10, [13], 1)' 1
'(8, 11, [14], 1)' 1
'(12, 14, [10], 2)' 2
'(2, 12, [14], 2)' 2
'(12, 11, [2], 2)' 1
'(2, 5, [7], 2)' 2
'(2, 7, [13], 2)' 2
'(8, 9, [1], 2)' 1
'(5, 8, [1], 1)' 1
'(7, 9, [5], 1)' 1
'(0, 6, [7], 1)' 1
'(6, 13, [14], 1)' 1
'(13, 4, [3], 2)' 2
'(4, 8, [2], 1)' 1
'(6, 10, [1], 2)' 2
'(11, 9, [5], 2)' 2
